基本产品,91239676,联通智家-组合优化版宽带1000M0元/月(下行1000M/上行30M)（含终端）,,公众客户,青海,宽带,在售,20220905181921 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,19591,16585,20230113,1月,11699,6,0,0,7,3,0.012333703,0,0,0,0,0,0,15918,7,0,0,10,1,0.010890836,19591,14,0,0,10,2,0.009872532,22630,19,0,0,10,2,0.007157724,25635,22,0,0,1,1,0.005539436,27658,28,0,0,8,2,0.0058,28650,27,0,0,0,0,0.0076,29514,12,0,0,0,0,0.0086,0.009176506,8.50 ,0.0105
基本产品,91241518,甘肃下行300Mbps上行30Mbps宽带基本套餐（幸福家家乐4G融合套餐59元档）,,公众客户,甘肃,宽带,在售,20220913143620 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,11653,10013,20230101,1月,6821,14,1,0,0,0,0.014215686,0,0,0,0,0,0,9462,22,2,0,0,0,0.009991312,11653,21,0,0,0,0,0.006607236,13817,19,0,0,0,0,0.005295977,14666,22,0,0,10,1,0.013714451,14946,16,0,0,10,2,0.0105,14985,6,0,0,0,0,0.1024,13640,9,0,0,0,0,0.0428,0.009176506,8.50 ,0.0105
基本产品,91249670,广东4G骑手卡套餐,,公众客户,广东,移网,在售,20221110104705 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,1922,1766,20230112,1月,1498,0,0,0,0,0,0,0,0,0,0,0,0,1666,4,0,0,0,0,0.222151496,1922,6,0,0,0,0,0.103087389,2610,20,0,1,0,0,0.144948755,2713,6,0,0,0,0,0.300348432,1936,9,0,0,0,0,0.1324,2166,10,0,0,10,2,0.1207,1946,14,0,0,0,0,0.2706,0.009176506,8.50 ,0.02
基本产品,91249773,联通智家-组合优化版宽带300M0元/月(下行300M/上行30M)（终端）,,公众客户,青海,宽带,在售,20221110174237 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,10527,8722,20230101,1月,8207,5,0,0,10,1,0.076865783,0,0,0,0,0,0,9474,10,0,0,4.5,2,0.036326334,10527,13,0,0,9.666666667,3,0.02890837,11762,10,0,0,10,1,0.027621195,14165,11,0,0,0,0,0.016463671,18892,14,0,0,0,0,0.0124,23713,14,0,0,0,0,0.0137,26725,19,0,0,0,0,0.0129,0.009176506,8.50 ,0.0105
基本产品,91251667,L计划59元套餐,,公众客户,新疆,移网,在售,20221121173430 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,3314,2739,20230105,1月,3513,87,5,0,7.8125,16,0.028438611,0,0,5.333333333,3,9.210526316,19,3426,41,5,0,9,1,0.026062323,3314,34,1,0,0,0,0.022998544,3132,38,2,0,0,0,0.056801196,2974,36,0,0,0,0,0.0749694,2913,40,3,0,0,0,0.0616,2744,22,3,0,7.666666667,3,0.0561,2613,8,0,0,0,0,0.0412,0.009176506,8.50 ,0.02
基本产品,91253657,河南远程看家300M宽带套餐（2022版）,,公众客户,河南,宽带,在售,20221129101742 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,2643,2637,20230101,1月,2199,5,0,0,0,0,0.002054443,0,0,7.75,4,7,3,2448,6,0,0,10,1,0.002718623,2643,11,0,0,10,1,0.004893964,2861,14,1,0,6.5,2,0.003403933,3014,9,0,0,0,0,0.00524109,3250,9,0,0,5.5,2,0.0056,3412,25,0,0,1,1,0.0077,3589,16,0,0,0,0,0.0064,0.009176506,8.50 ,0.0105
基本产品,91255325,辽宁视频流量卡39元B套餐,,公众客户,辽宁,移网,在售,20221208095637 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,7222,6699,20230105,1月,6083,36,0,0,7,3,0.17229208,0,0,0,0,10,3,6994,47,0,0,6.6,5,0.1050447,7222,44,0,0,6.75,4,0.08860053,7337,57,0,0,7.6,5,0.082565076,7280,36,1,0,0,0,0.077716098,7133,24,0,0,0,0,0.1003,6550,39,0,0,10,2,0.0698,6142,29,1,0,1,1,0.0524,0.009176506,8.50 ,0.02
基本产品,91255846,辽宁视频流量卡39元A套餐,,公众客户,辽宁,移网,在售,20221209162751 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,18051,17027,20230101,1月,17118,114,0,0,8.875,16,0.164390796,0,0,0,0,8.266666667,15,17761,112,1,0,9.444444444,27,0.085989957,18051,122,4,0,6.777777778,9,0.075163755,18473,99,1,0,10,2,0.079842154,18578,99,0,1,7.75,4,0.091053132,18230,72,0,0,10,2,0.0906,16706,69,1,0,7.428571429,7,0.0574,15848,47,0,0,9,2,0.0425,0.009176506,8.50 ,0.02
基本产品,91255863,固话5元100分钟优惠套餐-广西,,公众客户,广西,固话,在售,20221209191021 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,707,406,20230120,1月,574,2,1,0,0,0,0.02244898,0,0,0,0,0,0,654,1,0,0,0,0,0.003389831,707,0,0,0,0,0,0.00152439,774,0,0,0,0,0,0.014124294,802,0,0,0,0,0,0.012771392,845,0,0,0,0,0,0.011,894,1,0,0,0,0,0.0094,917,0,0,0,0,0,0.0222,0.009176506,8.50 ,0.0105
基本产品,91256238,安徽融合-500M30元宽带包月-第二条-FTTH接入,,公众客户,安徽,宽带,在售,20221213093558 ,20291231235959 ,长期,非2I,在售有赋权,在售,,,2226,2160,20230101,1月,1335,2,0,0,10,2,0.021428571,0,0,10,1,0,0,1773,0,0,0,0,0,0.014126394,2226,2,0,0,10,1,0.017328116,2678,1,0,0,0,0,0.018683274,3024,2,0,0,0,0,0.025887574,3433,5,0,0,10,2,0.0294,3750,2,0,0,3.5,2,0.0267,4022,3,0,0,0,0,0.027,0.009176506,8.50 ,0.0105
